,犬,猫,ペンギン,イルカ,パンダ
user_806,,5.0,,3.0,5.0
user_807,,3.0,1.0,,1.0
user_808,,5.0,5.0,5.0,
user_809,,,5.0,4.0,
user_810,5.0,,,5.0,
user_811,5.0,4.0,4.0,,1.0
user_812,,,5.0,,2.0
user_813,,4.0,,5.0,1.0
user_814,,2.0,,1.0,1.0
user_815,5.0,4.0,,,5.0
user_816,3.0,,,3.0,1.0
user_817,5.0,5.0,4.0,,
user_818,,5.0,5.0,5.0,
user_819,5.0,3.0,,,3.0
user_820,,4.0,5.0,,5.0
user_821,,5.0,,4.0,3.0
user_822,,5.0,,4.0,5.0
user_823,5.0,,3.0,4.0,5.0
user_824,5.0,,,4.0,5.0
user_825,,,5.0,5.0,5.0
user_826,4.0,,,4.0,
user_827,5.0,,5.0,5.0,
user_828,,4.0,4.0,5.0,
user_829,5.0,,,4.0,2.0
user_830,4.0,4.0,,,
user_831,5.0,,,,1.0
user_832,,,5.0,,5.0
user_833,,,3.0,1.0,5.0
user_834,,,,3.0,1.0
user_835,4.0,,5.0,,
user_836,,,3.0,,5.0
user_837,3.0,,4.0,3.0,
user_838,2.0,5.0,,,
user_839,,5.0,5.0,2.0,5.0
user_840,,2.0,,4.0,
user_841,,,5.0,4.0,5.0
user_842,,3.0,4.0,,5.0
user_843,,3.0,,4.0,
user_844,,4.0,,5.0,5.0
user_845,3.0,5.0,,,
user_846,4.0,,,2.0,
user_847,5.0,4.0,2.0,,
user_848,5.0,3.0,,4.0,4.0
user_849,,4.0,,5.0,5.0
user_850,4.0,5.0,5.0,,
user_851,5.0,,4.0,,
user_852,,5.0,5.0,5.0,1.0
user_853,5.0,,5.0,,
user_854,3.0,5.0,,3.0,5.0
user_855,,3.0,4.0,,5.0
user_856,5.0,,5.0,5.0,
user_857,2.0,,,,3.0
user_858,,3.0,4.0,3.0,
user_859,,5.0,,5.0,
user_860,4.0,5.0,1.0,,
user_861,4.0,,5.0,,5.0
user_862,3.0,5.0,,,
user_863,,5.0,4.0,,
user_864,2.0,,,5.0,1.0
user_865,4.0,,,3.0,5.0
user_866,5.0,1.0,,3.0,4.0
user_867,5.0,,4.0,5.0,5.0
user_868,,3.0,,4.0,5.0
user_869,,5.0,5.0,1.0,
user_870,,5.0,5.0,,2.0
user_871,3.0,,,5.0,
user_872,5.0,5.0,,,2.0
user_873,,,,2.0,4.0
user_874,5.0,4.0,,3.0,1.0
user_875,,4.0,5.0,5.0,
user_876,,,3.0,5.0,3.0
user_877,5.0,,4.0,,5.0
user_878,3.0,5.0,,5.0,
user_879,,5.0,5.0,3.0,5.0
user_880,,,4.0,4.0,3.0
user_881,5.0,,,2.0,
user_882,4.0,,,,5.0
user_883,3.0,1.0,,,5.0
user_884,5.0,4.0,5.0,,
user_885,,3.0,1.0,5.0,
user_886,,3.0,5.0,5.0,
user_887,,4.0,5.0,4.0,
user_888,2.0,3.0,,5.0,
user_889,3.0,3.0,,3.0,3.0
user_890,5.0,,2.0,,4.0
user_891,5.0,5.0,,2.0,5.0
user_892,,5.0,,3.0,
user_893,,,3.0,5.0,
user_894,,,,4.0,5.0
user_895,3.0,5.0,4.0,,
user_896,5.0,,,4.0,
user_897,5.0,,5.0,3.0,
user_898,,,5.0,,5.0
user_899,,5.0,,5.0,3.0
user_900,,5.0,,,5.0
user_901,,5.0,5.0,4.0,
user_902,,3.0,3.0,,5.0
user_903,,2.0,5.0,4.0,
user_904,4.0,4.0,4.0,,
user_905,5.0,,,4.0,5.0
user_906,,5.0,2.0,,5.0
user_907,5.0,4.0,4.0,,3.0
user_908,,4.0,5.0,,
user_909,,,5.0,4.0,
user_910,5.0,,,5.0,5.0
user_911,,5.0,3.0,,5.0
user_912,2.0,4.0,,,2.0
user_913,5.0,3.0,,,
user_914,5.0,3.0,,,5.0
user_915,3.0,2.0,,3.0,
user_916,4.0,5.0,,5.0,2.0
user_917,5.0,5.0,,,
user_918,,,4.0,4.0,
user_919,,5.0,1.0,5.0,
user_920,4.0,4.0,5.0,,
user_921,4.0,3.0,,4.0,
user_922,5.0,,5.0,,5.0
user_923,4.0,,,5.0,4.0
user_924,5.0,,5.0,5.0,
user_925,3.0,5.0,,,1.0
user_926,4.0,,,4.0,5.0
user_927,4.0,,5.0,5.0,
user_928,5.0,,,2.0,5.0
user_929,5.0,,5.0,,
user_930,5.0,4.0,,5.0,
user_931,5.0,5.0,,3.0,
user_932,3.0,,3.0,,
user_933,,5.0,,,3.0
user_934,,4.0,,2.0,5.0
user_935,3.0,5.0,5.0,,
user_936,5.0,,5.0,,
user_937,5.0,5.0,,3.0,
user_938,4.0,5.0,4.0,,
user_939,3.0,5.0,4.0,,
user_940,,,5.0,5.0,
user_941,3.0,5.0,,5.0,1.0
user_942,5.0,5.0,5.0,,
user_943,,,,4.0,4.0
user_944,,,,5.0,5.0
user_945,,3.0,4.0,5.0,
user_946,,5.0,5.0,,2.0
user_947,,5.0,3.0,2.0,5.0
user_948,5.0,5.0,,,
user_949,5.0,,,5.0,5.0
user_950,,,5.0,3.0,
user_951,5.0,5.0,5.0,,5.0
user_952,5.0,,5.0,5.0,
user_953,5.0,5.0,,5.0,5.0
user_954,4.0,4.0,5.0,,2.0
user_955,5.0,5.0,,5.0,
user_956,,4.0,,3.0,
user_957,,3.0,3.0,,3.0
user_958,5.0,,,,3.0
user_959,,1.0,5.0,,5.0
user_960,,5.0,5.0,5.0,
user_961,4.0,5.0,,1.0,
user_962,5.0,,4.0,5.0,
user_963,,4.0,5.0,,1.0
user_964,3.0,4.0,3.0,,5.0
user_965,,2.0,1.0,,1.0
user_966,5.0,5.0,,,
user_967,5.0,2.0,,5.0,
user_968,3.0,,,3.0,5.0
user_969,5.0,5.0,,,5.0
user_970,,5.0,3.0,,2.0
user_971,,,5.0,,5.0
user_972,5.0,,5.0,,5.0
user_973,5.0,,5.0,,
user_974,5.0,5.0,4.0,4.0,5.0
user_975,,4.0,3.0,,
user_976,5.0,,,,5.0
user_977,,5.0,5.0,,
user_978,5.0,,5.0,5.0,
user_979,5.0,,,3.0,
user_980,5.0,2.0,1.0,3.0,
user_981,5.0,,5.0,5.0,
user_982,,4.0,5.0,5.0,4.0
user_983,4.0,,5.0,4.0,
user_984,,3.0,,3.0,5.0
user_985,,,4.0,,5.0
user_986,4.0,4.0,,,
user_987,5.0,,5.0,5.0,5.0
user_988,3.0,4.0,,,4.0
user_989,,5.0,,5.0,
user_990,3.0,,4.0,5.0,
user_991,5.0,,,4.0,4.0
user_992,4.0,,4.0,,5.0
user_993,,5.0,5.0,4.0,
user_994,4.0,5.0,,,
user_995,,5.0,2.0,,
user_996,5.0,,4.0,,2.0
user_997,3.0,,,,3.0
user_998,5.0,5.0,,,5.0
user_999,,5.0,5.0,,
user_1000,5.0,,3.0,,3.0
